Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019]
Argentina,ARG,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,38.2912941,37.38851166
Argentina,ARG,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,865.53487858,822.12867475
Argentina,ARG,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,0.30256081,0.25067601
Armenia,ARM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.00543404,11.33526421
Armenia,ARM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,422.28268433,523.99908447
Armenia,ARM,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,1.23468113,1.40614879
Armenia,ARM,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,52.11013478,65.00251312
Armenia,ARM,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,86.4431076,86.59964752
Armenia,ARM,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,1126.5186655,1399.60423998
Armenia,ARM,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,1.21678388,0.9952727
Aruba,ABW,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..
Aruba,ABW,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..
Aruba,ABW,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..,..
Aruba,ABW,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,..,..
Aruba,ABW,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,..,..
Aruba,ABW,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,..,..
Aruba,ABW,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,..,..
Australia,AUS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.1550045,9.91078568
Australia,AUS,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,5364.54296875,5427.46240234
Australia,AUS,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,6.29709959,7.10425138
Australia,AUS,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,3689.90078678,3890.51439862
Australia,AUS,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,31.21686363,28.31803894
Australia,AUS,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,1522.22196705,1499.28918488
Australia,AUS,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,0,0
Austria,AUT,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.31750679,10.43403149
Austria,AUT,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,5322.26269531,5242.18310547
Austria,AUT,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,7.48925352,7.6176486
Austria,AUT,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,3863.31498328,3827.19825686
Austria,AUT,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,27.41217613,26.99225616
Austria,AUT,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,1616.86685918,1655.74054995
Austria,AUT,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,0,0
Azerbaijan,AZE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.55621028,4.03829002
Azerbaijan,AZE,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,168.39164734,193.10884094
Azerbaijan,AZE,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.92868197,1.28157103
Azerbaijan,AZE,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,43.97442155,61.28403363
Azerbaijan,AZE,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,73.22861481,67.96251678
Azerbaijan,AZE,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,378.68467692,411.80836366
Azerbaijan,AZE,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,0.65701377,0.30199534
"Bahamas, The",BHS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.92999935,5.74977493
"Bahamas, The",BHS,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,2002.41296387,2004.61633301
"Bahamas, The",BHS,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.96176958,2.98772573
"Bahamas, The",BHS,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,1000.11577909,1041.64834169
"Bahamas, The",BHS,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,49.52278519,47.52725601
"Bahamas, The",BHS,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,1113.63559391,1058.73718606
"Bahamas, The",BHS,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,0.53168541,0.51026106
Bahrain,BHR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.14378214,4.01147509
Bahrain,BHR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,994.17901611,940.39569092
Bahrain,BHR,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.43788433,2.3749764
Bahrain,BHR,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,584.89891239,556.75720436
Bahrain,BHR,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,41.16764832,40.79542923
Bahrain,BHR,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,807.82975702,767.18869067
Bahrain,BHR,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,0,0
Bangladesh,BGD,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.50803041,2.48357606
Bangladesh,BGD,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,41.90407562,45.85716248
Bangladesh,BGD,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.42589214,0.46258456
Bangladesh,BGD,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,7.1157897,8.54123854
Bangladesh,BGD,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,76.49461365,75.25727081
Bangladesh,BGD,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,87.27362606,92.78242633
Bangladesh,BGD,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,6.52425003,6.11698198
Barbados,BRB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.56259155,6.29990387
Barbados,BRB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,1164.54455566,1143.32202148
Barbados,BRB,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.93843102,2.82451534
Barbados,BRB,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,521.43027343,512.59995323
Barbados,BRB,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,54.03665924,54.27687836
Barbados,BRB,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,569.40310711,558.41692574
Barbados,BRB,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,1.18787313,0.88886207
Belarus,BLR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.52699471,5.86133957
Belarus,BLR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,351.00680542,399.39709473
Belarus,BLR,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,3.9000001,4.12527084
Belarus,BLR,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,247.68008379,281.09976022
Belarus,BLR,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,29.23060417,29.47942924
Belarus,BLR,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,313.55913349,353.34665862
Belarus,BLR,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,0.20678577,0.13954489
Belgium,BEL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.76469994,10.65604973
Belgium,BEL,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,5134.41455078,4960.39355469
Belgium,BEL,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,8.26992512,8.18138885
Belgium,BEL,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,3944.48729309,3808.43816884
Belgium,BEL,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,23.17552185,23.22304344
Belgium,BEL,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,1317.09281834,1357.82736808
Belgium,BEL,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,0,0
Belize,BLZ,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.81922674,5.96689224
Belize,BLZ,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,285.97033691,293.41259766
Belize,BLZ,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,3.99211764,4.16896009
Belize,BLZ,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,196.18195147,205.00211731
Belize,BLZ,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,28.90022659,27.14195824
Belize,BLZ,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,123.37073952,120.97660103
Belize,BLZ,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,2.4975698,2.98983812
Benin,BEN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.50416446,2.38842916
Benin,BEN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,31.07242012,29.12529182
Benin,BEN,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.4908835,0.54099613
Benin,BEN,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,6.09102944,6.59708499
Benin,BEN,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,50.35248566,53.01073074
Benin,BEN,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,40.8253919,43.46327264
Benin,BEN,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,30.0448246,24.3385601
Bermuda,BMU,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..
Bermuda,BMU,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..
Bermuda,BMU,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..,..
Bermuda,BMU,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,..,..
Bermuda,BMU,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,..,..
Bermuda,BMU,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,..,..
Bermuda,BMU,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,..,..
Bhutan,BTN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.2427721,3.60761595
Bhutan,BTN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,102.73851776,115.98075867
Bhutan,BTN,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.57960916,2.6540451
Bhutan,BTN,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,81.7279877,85.32454068
Bhutan,BTN,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,14.39869881,19.4673481
Bhutan,BTN,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,53.01934104,84.12519272
Bhutan,BTN,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,6.05179501,6.96480703
Bolivia,BOL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.64209032,6.9233799
Bolivia,BOL,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,235.70088196,245.92347717
Bolivia,BOL,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,4.835742,4.93192387
Bolivia,BOL,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,171.60088554,175.18552244
Bolivia,BOL,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,25.5754528,27.63630486
Bolivia,BOL,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,150.61733413,174.31849517
Bolivia,BOL,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,1.62002647,1.12790906
Bosnia and Herzegovina,BIH,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.89146042,9.04909897
Bosnia and Herzegovina,BIH,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,539.91003418,553.82293701
Bosnia and Herzegovina,BIH,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,6.21219301,6.21883726
Bosnia and Herzegovina,BIH,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,377.21874829,380.60522762
Bosnia and Herzegovina,BIH,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,29.70884514,29.73446846
Bosnia and Herzegovina,BIH,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,406.47030067,439.11903475
Bosnia and Herzegovina,BIH,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,0.42419317,1.54225802
Botswana,BWA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.96867228,6.04836559
Botswana,BWA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,494.19546509,481.53305054
Botswana,BWA,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,4.68888426,4.74940634
Botswana,BWA,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,388.23126205,378.11800433
Botswana,BWA,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,15.18728447,15.32737446
Botswana,BWA,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,163.74821978,171.9948939
Botswana,BWA,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,6.25447035,6.14883471
Brazil,BRA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.46475124,9.5912714
Brazil,BRA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,866.15539551,853.38793945
Brazil,BRA,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,3.88923883,3.90755868
Brazil,BRA,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,355.91903424,347.67692994
Brazil,BRA,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,58.82275772,59.11333466
Brazil,BRA,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,846.32261882,885.40822088
Brazil,BRA,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,0.08541891,0.14588499
British Virgin Islands,VGB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..
British Virgin Islands,VGB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..
British Virgin Islands,VGB,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..,..
British Virgin Islands,VGB,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,..,..
British Virgin Islands,VGB,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,..,..
British Virgin Islands,VGB,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,..,..
British Virgin Islands,VGB,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,..,..
Brunei Darussalam,BRN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.41289377,2.16031361
Brunei Darussalam,BRN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,763.14569092,671.56268311
Brunei Darussalam,BRN,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.29566693,2.03760552
Brunei Darussalam,BRN,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,726.06939329,633.41721174
Brunei Darussalam,BRN,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,4.85835171,5.68010855
Brunei Darussalam,BRN,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,72.51634656,79.57341458
Brunei Darussalam,BRN,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,0,0
Bulgaria,BGR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.3434248,7.12611389
Bulgaria,BGR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,689.90539551,697.8963623
Bulgaria,BGR,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,4.23249435,4.21549892
Bulgaria,BGR,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,397.63744044,412.84511231
Bulgaria,BGR,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,42.3634758,40.8441391
Bulgaria,BGR,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,732.63580915,734.17585372
Bulgaria,BGR,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,..,..
Burkina Faso,BFA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.90988731,5.46494246
Burkina Faso,BFA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,40.26911545,42.3445282
Burkina Faso,BFA,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.0870657,2.28508854
Burkina Faso,BFA,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,17.11735616,17.7057667
Burkina Faso,BFA,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,42.30842972,42.38819504
Burkina Faso,BFA,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,45.51046992,51.88633489
Burkina Faso,BFA,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,15.18416405,15.79821396
Burundi,BDI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.2447691,7.99091434
Burundi,BDI,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,22.40539742,20.56754112
Burundi,BDI,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.28904033,2.66726708
Burundi,BDI,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,6.22053323,6.86518735
Burundi,BDI,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,39.63681412,40.96768951
Burundi,BDI,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,25.49260063,25.31656399
Burundi,BDI,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,32.59963608,25.65356445
Cabo Verde,CPV,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.26637983,4.93621731
Cabo Verde,CPV,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,190.45559692,177.89027405
Cabo Verde,CPV,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,3.20918369,3.24621487
Cabo Verde,CPV,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,116.05828874,116.98636049
Cabo Verde,CPV,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,29.66669846,27.39300728
Cabo Verde,CPV,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,109.85523283,101.26733853
Cabo Verde,CPV,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,9.39611244,6.84377623
Cambodia,KHM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.18275642,6.98908329
Cambodia,KHM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,92.90358734,113.31044006
Cambodia,KHM,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,1.66258287,1.69888663
Cambodia,KHM,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,24.98236818,27.54318045
Cambodia,KHM,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,66.61171722,69.18743134
Cambodia,KHM,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,174.36997261,218.66481831
Cambodia,KHM,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,6.49763775,6.50484943
Cameroon,CMR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.46510625,3.59539533
Cameroon,CMR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,53.17176819,53.99584961
Cameroon,CMR,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.21044466,0.12061489
Cameroon,CMR,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,3.22925578,1.8114012
